px,pz,end_speed,pitch_type,b_score,ab_id,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b,pitch_type_code,year,inning,p_score,type_B,type_S,type_X,stand_L,stand_R
0.14300000000000002,1.63,78.7,3,0.0,2015006913,2.0,2.0,2.0,5.0,0.0,0.0,0.0,OS,2015,3,1,0,0,1,1,0
-0.34700000000000003,3.165,84.6,1,0.0,2015006914,0.0,0.0,2.0,1.0,1.0,0.0,0.0,FB,2015,3,1,0,1,0,1,0
-0.9640000000000001,2.475,84.6,1,0.0,2015006914,0.0,1.0,2.0,2.0,1.0,0.0,0.0,FB,2015,3,1,0,1,0,1,0
-1.189,1.949,74.4,2,0.0,2015006914,0.0,2.0,2.0,3.0,1.0,0.0,0.0,BR,2015,3,1,1,0,0,1,0
0.5720000000000001,2.8930000000000002,86.4,1,0.0,2015006914,1.0,2.0,2.0,4.0,1.0,0.0,0.0,FB,2015,3,1,0,0,1,1,0
-0.344,2.859,72.9,2,0.0,2015006915,0.0,0.0,2.0,1.0,1.0,0.0,1.0,BR,2015,3,1,0,1,0,1,0
0.45,2.9010000000000002,86.1,1,0.0,2015006915,0.0,1.0,2.0,2.0,1.0,0.0,1.0,FB,2015,3,1,0,1,0,1,0
-0.433,0.83,78.9,3,0.0,2015006915,0.0,2.0,2.0,3.0,1.0,0.0,1.0,OS,2015,3,1,0,1,0,1,0
0.826,2.064,77.0,2,0.0,2015006922,0.0,0.0,0.0,1.0,0.0,0.0,0.0,BR,2015,4,2,1,0,0,0,1
0.136,2.009,77.0,2,0.0,2015006922,1.0,0.0,0.0,2.0,0.0,0.0,0.0,BR,2015,4,2,0,1,0,0,1
0.461,1.6059999999999999,83.8,1,0.0,2015006922,1.0,1.0,0.0,3.0,0.0,0.0,0.0,FB,2015,4,2,0,0,1,0,1
-1.125,2.9210000000000003,82.0,1,0.0,2015006923,0.0,0.0,1.0,1.0,0.0,0.0,0.0,FB,2015,4,2,0,1,0,1,0
0.7909999999999999,1.6219999999999999,82.5,1,0.0,2015006923,0.0,1.0,1.0,2.0,0.0,0.0,0.0,FB,2015,4,2,1,0,0,1,0
-0.89,3.385,83.3,1,0.0,2015006923,1.0,1.0,1.0,3.0,0.0,0.0,0.0,FB,2015,4,2,0,1,0,1,0
-0.805,2.215,84.7,1,0.0,2015006923,1.0,2.0,1.0,4.0,0.0,0.0,0.0,FB,2015,4,2,0,1,0,1,0
-0.654,4.101,84.7,1,0.0,2015006923,1.0,2.0,1.0,5.0,0.0,0.0,0.0,FB,2015,4,2,0,1,0,1,0
1.443,1.3419999999999999,81.3,1,0.0,2015006923,1.0,2.0,1.0,6.0,0.0,0.0,0.0,FB,2015,4,2,1,0,0,1,0
-0.27399999999999997,1.952,78.1,3,0.0,2015006923,2.0,2.0,1.0,7.0,0.0,0.0,0.0,OS,2015,4,2,0,0,1,1,0
-1.0390000000000001,3.508,83.3,1,0.0,2015006924,0.0,0.0,2.0,1.0,0.0,0.0,0.0,FB,2015,4,2,1,0,0,1,0
-0.23800000000000002,2.674,84.6,1,0.0,2015006924,1.0,0.0,2.0,2.0,0.0,0.0,0.0,FB,2015,4,2,0,1,0,1,0
0.462,2.61,80.3,1,0.0,2015006924,1.0,1.0,2.0,3.0,0.0,0.0,0.0,FB,2015,4,2,0,0,1,1,0
-0.159,1.68,82.9,1,0.0,2015006928,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FB,2015,5,2,0,1,0,0,1
0.8440000000000001,3.085,84.3,1,0.0,2015006928,0.0,1.0,0.0,2.0,0.0,0.0,0.0,FB,2015,5,2,1,0,0,0,1
0.479,2.35,84.7,1,0.0,2015006928,1.0,1.0,0.0,3.0,0.0,0.0,0.0,FB,2015,5,2,0,1,0,0,1
